Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
Telford 1931 Auditory RT,2,1,No,1875,N/A,0,0,0%,Pure,N/A,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,1,1,Auditory RT,Auditory RT,Same,Both tasks were of the same task (i.e. two auditory response tasks in succession with varying SOA),"{ ""description"": ""Telford 1931 Auditory RT experiment with variable inter-stimulus intervals to investigate refractory phase, modeled as a dual-task."", ""convert_overrides"": { ""t1_stim_duration"": 300, ""t1_cue_go_duration"": 4000, ""t2_stim_duration"": 300, ""t2_cue_go_duration"": 4000 }, ""viewer_config"": { ""SOA_distribution"": ""choice"", ""SOA_values"": [500, 1000, 2000, 4000] }}"
Telford 1931 Line Length,2,1,No,3750,N/A,0,0,0%,Pure,N/A,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Line Length Comparison,Line Length Comparison,Same,Both tasks were of the same task (i.e. two length comparison tasks in succession with varying SOA),"{ ""description"": ""Telford 1931 Accuracy in Judging Linear Magnitudes experiment, investigating the effect of variable inter-judgment intervals on accuracy, modeled as a sequential dual-task."", ""viewer_config"": { ""SOA_distribution"": ""choice"", ""SOA_values"": [1000, 2000, 4000, 8000] }}"
"Telford 1931 Number Association, Adults",2,1,No,6200,N/A,0,0,0%,Pure,N/A,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Number Association,Number Association,Same,Both tasks were of the same task (i.e. two association tasks in succession with varying SOA),"{ ""description"": ""Telford 1931 Repetitive tendencies in an associative process, investigating the effect of variable inter-response intervals on the likelihood of repeating a response, modeled as a sequential dual-task."", ""viewer_config"": { ""SOA_distribution"": ""choice"", ""SOA_values"": [1000, 2000, 4000, 8000, 16000] }}"
Stroop 1935 Word Reading (Baseline),1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,1,N/A,Word Reading,N/A,N/A,,
Stroop 1935 Word Reading,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,1,N/A,Word Reading,N/A,N/A,,
Stroop 1935 Color Naming (Baseline),1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Color Naming,N/A,N/A,,
Stroop 1935 Color Naming,1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Color Naming,N/A,N/A,,
Jersild 1927 Calculation Pure Trials,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Add 6/Subtract 3,N/A,N/A,,
Jersild 1927 Calculation Switch Trials,1,0,N/A,N/A,0,0,0,100%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,Not Specified,3,3,Add 6,Subtract 3,Different,"This is an example of the larger class of ""Calculation"" experiments. Jersild uses the words ""cost of shift"" to mean ""switch cost"". Bivalence from two different operations applied to a single attribute (number identity).",
Jersild 1927 Controlled Association Pure Trials,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,3,N/A,Name Opposite/Name Object,N/A,N/A,,
