PC	cum_var
0	0
1	20.498040964971135
2	36.93007590118381
3	48.34294675580398
4	57.51523303580506
5	64.1114202887274
6	69.91749629470907
7	75.36428088528194
8	79.35897173034647
9	82.86526538890456
10	85.49502335558593
11	87.48327156980761
12	89.40779056671373
13	91.09379901324802
14	92.57381051113512
15	93.97810619529187
16	95.11048198076286
17	96.1850505755491
18	97.16994353116273
19	97.93433980955483
20	98.51399391492686
21	98.8495382590601
22	99.15149491075177
23	99.35234057000967
24	99.50102236467873
25	99.62548093278967
26	99.70648503142866
27	99.77534019326247
28	99.83829957986087
29	99.89419689139453
30	99.93918635189522
